Financial Instrument,Change %,Last,Volume,Bid,Ask
MIST,133%,7.77,223603200,7.76,7.77
ABUS,133%,6.57,96334300,6.56,6.6
RNET,47%,3.1,55321900,3.02,3.1
BCOV,46%,11.75,10808400,11.77,11.8
MOGO,28%,1.79,2561800,1.79,1.89
HLX,25%,4.77,17507000,4.76,4.79
REED,28%,1.1,6804400,1.09,1.1
CBAY,23%,4.31,44119700,4.31,4.35
XSPA,19%,3.66,18949600,3.66,3.67
TMQ,17%,2.28,1150400,2.26,2.28
TNXP,13%,1.47,72851400,1.47,1.48
TUP,17%,9.11,11321800,9,9.11
OMI,16%,14.91,8805500,14.91,15.07
SALM,12%,2.26,6436600,2.23,2.26
YVR,14%,1.82,65670000,1.79,1.82
ENTX,12%,2.13,28929100,2.13,2.15
AMAG,20%,10.49,1692100,10,10.48
GNCA,15%,3.6,3090700,3.58,3.66
AIKI,16%,1.24,7743400,1.23,1.24
PRTY,14%,1.55,8236700,1.55,1.56
PEIX,15%,1.14,1623200,1.13,1.14
UMC,15%,3.42,6396600,3.37,3.43
MYOS,12%,1.45,1689000,1.44,1.45
CNTG,12%,13.42,2046700,13.36,13.42
PLG,11%,1.98,1674400,1.95,2.01
CLSN,11%,1.17,25587600,1.16,1.17
SINT,8%,2.28,22158200,2.28,2.3
MITO,7%,1.92,1103000,1.92,1.98
FI,10%,2.22,1442000,2.19,2.25
CPSH,10%,2.62,1186400,2.6,2.69
IMRN,10%,14,2886300,13.9,14.08
EQT,10%,14.35,6976300,14,14.35
